Game,Ticket Price,Top Prize,Top Prizes Remaining,Top Prize Numeric,Value Score
"$25, $50 OR $100",5,$100.00,71770,100,14354.0
$50 FRENZY,1,$50.00,9550,50,9550.0
DOUBLE IT!,1,"$5,000.00",38,5000,38.0
$10K GOLD RUSH MULTIPLIER,1,"$10,000.00",33,10000,33.0
"$10,000 TRIPLE MATCH",1,"$10,000.00",12,10000,12.0
"$5,000 CROSSWORD",1,"$5,000.00",10,5000,10.0
10X&reg; THE CASH,1,"$10,000.00",9,10000,9.0
$1 GOLD RUSH DOUBLER,1,"$10,000.00",9,10000,9.0
SUMMER CASH,1,"$5,000.00",7,5000,7.0
FAST LOOT,1,"$5,000.00",5,5000,5.0
FAST BUCKS,1,"$5,000.00",5,5000,5.0
"$5,000 HOLIDAY BLOWOUT",1,"$5,000.00",5,5000,5.0
$2 GOLD RUSH DOUBLER,2,"$100,000.00",10,100000,5.0
"$50,000 FLAMINGO MULTIPLIER",2,"$50,000.00",9,50000,4.5
JAWS,2,"$50,000.00",7,50000,3.5
20X THE CASH,2,"$100,000.00",7,100000,3.5
$1 MONOPOLY&trade; SECRET VAULT,1,"$10,000.00",3,10000,3.0
ADD IT UP,2,"$50,000.00",5,50000,2.5
$100K GOLD RUSH MULTIPLIER,2,"$100,000.00",4,100000,2.0
EASY MONEY,2,"$50,000.00",4,50000,2.0
FLORIDA 10X THE CASH,1,"$10,000.00",2,10000,2.0
$100 LOADED,1,"$5,000.00",2,5000,2.0
$5 GOLD RUSH DOUBLER,5,"$1,000,000.00",8,1000000,1.6
WIN WIN WIN,2,"$50,000.00",3,50000,1.5
BONUS CASH,2,"$50,000.00",3,50000,1.5
QUICK $100S,2,"$50,000.00",3,50000,1.5
LOTERIA&#153,2,"$50,000.00",3,50000,1.5
ACES AND 8S,2,"$50,000.00",3,50000,1.5
$2 MONOPOLY&trade; SECRET VAULT,2,"$100,000.00",3,100000,1.5
THE GAME OF LIFE&trade;,5,"$500,000.00",6,500000,1.2
"$25,000 HOLIDAY BLOWOUT",2,"$25,000.00",2,25000,1.0
CA$H ON THE SPOT,1,"$5,000.00",1,5000,1.0
20X THE CASH,2,"$100,000.00",2,100000,1.0
"$50,000 TRIPLE MATCH",2,"$50,000.00",2,50000,1.0
THE PRICE IS RIGHT,5,"$1,000,000.00",5,1000000,1.0
50X THE CASH,5,"$1,000,000.00",5,1000000,1.0
2025,2,"$50,000.00",2,50000,1.0
TREASURE HUNT,3,"$150,000.00",3,150000,1.0
CASH DROP,2,"$50,000.00",2,50000,1.0
HIT AND WIN!,5,"$500,000.00",4,500000,0.8
JEOPARDY,5,"$1,000,000.00",4,1000000,0.8
UNO&trade;,3,"$150,000.00",2,150000,0.6666666666666666
TRIPLE CROSSWORD,3,"$150,000.00",2,150000,0.6666666666666666
TRIPLE GOLDEN CHERRIES,5,"$500,000.00",3,500000,0.6
$5 MONOPOLY&trade; SECRET VAULT,5,"$1,000,000.00",3,1000000,0.6
$1MM GOLD RUSH MULTIPLIER,5,"$1,000,000.00",3,1000000,0.6
BONUS LETTER CROSSWORD,5,"$1,000,000.00",3,1000000,0.6
LUCKY NUMBERS,5,"$500,000.00",3,500000,0.6
GUY HARVEY $1M FLORIDA BIG BILLS,5,"$1,000,000.00",3,1000000,0.6
LUCKY GREEN,2,"$50,000.00",1,50000,0.5
FIND THE 7S,2,"$50,000.00",1,50000,0.5
DOUBLE YOUR MONEY,5,"$1,000,000.00",2,1000000,0.4
PLATINUM MINE 9X,5,"$1,000,000.00",2,1000000,0.4
ULTIMATE VIP CASHWORD,10,"$2,000,000.00",4,2000000,0.4
5 TIMES LUCKY,5,"$1,000,000.00",2,1000000,0.4
MONEY MATCH,5,"$1,000,000.00",2,1000000,0.4
"$100,000 HOLIDAY BLOWOUT",5,"$100,000.00",2,100000,0.4
SCORCHING HOT 7s,10,"$2,000,000.00",4,2000000,0.4
THE CASH WHEEL,5,"$1,000,000.00",2,1000000,0.4
BINGO DOUBLER,3,"$150,000.00",1,150000,0.3333333333333333
BINGO NIGHT,3,"$150,000.00",1,150000,0.3333333333333333
$2MM GOLD RUSH MULTIPLIER,10,"$2,000,000.00",3,2000000,0.3
$2MM TRIPLE MATCH,10,"$2,000,000.00",3,2000000,0.3
"$500,000 HOLIDAY BLOWOUT",10,"$500,000.00",2,500000,0.2
CROSSWORD CASH,5,"$500,000.00",1,500000,0.2
"$5,000,000 CA$H MONEY",20,"$5,000,000.00",4,5000000,0.2
$10 MONOPOLY&trade; SECRET VAULT,10,"$2,000,000.00",2,2000000,0.2
MILLIONAIRE MAKER,5,"$1,000,000.00",1,1000000,0.2
LOTERIA&trade; GRANDE,5,"$1,000,000.00",1,1000000,0.2
MYSTERY MULTIPLIER,10,"$1,000,000.00",2,1000000,0.2
EMERALD MINE 9X,5,"$500,000.00",1,500000,0.2
SILVER STREAK,10,"$2,000,000.00",1,2000000,0.1
100X THE CASH,10,"$2,000,000.00",1,2000000,0.1
TRIPLE 777,10,"$2,000,000.00",1,2000000,0.1
GOLD RUSH LEGACY,20,"$10,000,000.00",2,10000000,0.1
